Source,Target,Weight
Ross,Monica,10
Ross,Chandler,8
Ross,Joey,6
Ross,Rachel,15
Ross,Phoebe,4
Monica,Chandler,9
Monica,Joey,5
Monica,Rachel,13
Monica,Phoebe,7
Chandler,Joey,7
Chandler,Rachel,10
Chandler,Phoebe,6
Joey,Rachel,8
Joey,Phoebe,5
Rachel,Phoebe,9
Ross,Monica,10
Monica,Chandler,9
Ross,Chandler,8
Chandler,Joey,7
Chandler,Monica,5
Monica,Joey,7
Chandler,Phoebe,6
Phoebe,Chandler,6
Rachel,Monica,7
Phoebe,Monica,13
Rachel,Joey,5
Joey,Monica,5
Phoebe,Rachel,8
Rachel,Phoebe,7
Monica,Monica,10
Monica,Ross,8
Ross,Ross,6
Chandler,Monica,9
Rachel,Chandler,7
Monica,Rachel,8
Phoebe,Phoebe,7
Phoebe,Rachel,6
Rachel,Phoebe,9
Phoebe,Monica,7
Monica,Phoebe,9
